Date,Sector,Industry,CapGain
2023-01-04,Industrials,Industrial Distribution,3086550.999999997
2023-01-04,Industrials,Infrastructure Operations,-587009.9999999998
2023-01-04,Industrials,Integrated Freight & Logistics,20499642.000000007
2023-01-04,Industrials,Marine Shipping,654215.8000000061
2023-01-04,Industrials,Metal Fabrication,3027223.960000004
2023-01-04,Industrials,Pollution & Treatment Controls,575077.1600000004
2023-01-04,Industrials,Railroads,11870374.42
2023-01-04,Industrials,Rental & Leasing Services,7048203.00000001
2023-01-04,Industrials,Security & Protection Services,-185968.20000000868
2023-01-04,Industrials,Specialty Business Services,3626545.319999979
2023-01-04,Industrials,Specialty Industrial Machinery,39024697.43000004
2023-01-04,Industrials,Staffing & Employment Services,4951833.830000006
2023-01-04,Industrials,Tools & Accessories,3114800.9999999795
2023-01-04,Industrials,Trucking,3493153.5000000224
2023-01-04,Industrials,Waste Management,-937442.9999999746
2023-01-04,Real Estate,REIT - Diversified,2445407.8099999926
2023-01-04,Real Estate,REIT - Healthcare Facilities,18998676.000000022
2023-01-04,Real Estate,REIT - Hotel & Motel,2306232.000000014
2023-01-04,Real Estate,REIT - Industrial,16128608.999999976
2023-01-04,Real Estate,REIT - Mortgage,3516265.0000000363
2023-01-04,Real Estate,REIT - Office,-3964262.000000052
2023-01-04,Real Estate,REIT - Residential,16274987.000000002
2023-01-04,Real Estate,REIT - Retail,12843888.50000001
2023-01-04,Real Estate,REIT - Specialty,33474347.999999948
2023-01-04,Real Estate,Real Estate - Development,7034.999999999987
2023-01-04,Real Estate,Real Estate - Diversified,277760.0000000012
2023-01-04,Real Estate,Real Estate Services,15414225.410000078
2023-01-04,Technology,Communication Equipment,-22742992.08000001
2023-01-04,Technology,Computer Hardware,-34152285.26999998
2023-01-04,Technology,Consumer Electronics,-47036590.0000001
2023-01-04,Technology,Electronic Components,962135.799999961
2023-01-04,Technology,Electronics & Computer Distribution,-1346974.000000004
2023-01-04,Technology,Information Technology Services,-3917794.6600000113
2023-01-04,Technology,Scientific & Technical Instruments,5263682.000000013
2023-01-04,Technology,Semiconductor Equipment & Materials,7769198.000000103
2023-01-04,Technology,Semiconductors,163597697.80000088
2023-01-04,Technology,Software - Application,-53594790.75999992
2023-01-04,Technology,Software - Infrastructure,-145025301.03000042
2023-01-04,Technology,Solar,6475029.779999984
2023-01-04,Utilities,Utilities - Diversified,-7562782.9999999935
2023-01-04,Utilities,Utilities - Independent Power Producers,2253898.9999999967
2023-01-04,Utilities,Utilities - Regulated Electric,25726299.00000005
2023-01-04,Utilities,Utilities - Regulated Gas,3380345.0000000102
2023-01-04,Utilities,Utilities - Regulated Water,2196069.9999999944
2023-01-04,Utilities,Utilities - Renewable,4202939.99999998
2023-01-04,bond,bond etf,691360671.5699986
2023-01-05,Basic Materials,Agricultural Inputs,18321472.960000023
2023-01-05,Basic Materials,Aluminum,1272035.0000000212
2023-01-05,Basic Materials,Building Materials,-2699813.99999999
2023-01-05,Basic Materials,Chemicals,11577816.999999968
2023-01-05,Basic Materials,Coking Coal,1716511.9999999923
2023-01-05,Basic Materials,Copper,13513219.00000007
2023-01-05,Basic Materials,Gold,13299669.00000004
2023-01-05,Basic Materials,Independent Oil & Gas,-17735.99999999962
2023-01-05,Basic Materials,Lumber & Wood Production,-1963647.0
2023-01-05,Basic Materials,Other Industrial Metals & Mining,20370779.36000004
2023-01-05,Basic Materials,Other Precious Metals & Mining,562834.0000000008
2023-01-05,Basic Materials,Paper & Paper Products,-10945.000000001455
2023-01-05,Basic Materials,Silver,276332.9999999942
2023-01-05,Basic Materials,Specialty Chemicals,-54578259.71999982
2023-01-05,Basic Materials,Steel,13199220.25000006
2023-01-05,Communication Services,Advertising Agencies,1904411.1999999927
2023-01-05,Communication Services,Broadcasting,73728.00000000237
2023-01-05,Communication Services,Electronic Gaming & Multimedia,33147271.400000025
2023-01-05,Communication Services,Internet Content & Information,-29233426.699999776
2023-01-05,Communication Services,Publishing,159042.51999999737
2023-01-05,Communication Services,Telecom Services,57403718.39999996
2023-01-05,Communication Services,bond etf,65022368.05999989
2023-01-05,Consumer Cyclical,Apparel Manufacturing,8218143.239999995
2023-01-05,Consumer Cyclical,Apparel Retail,28369921.000000067
2023-01-05,Consumer Cyclical,Auto & Truck Dealerships,-4172130.6299999794
2023-01-05,Consumer Cyclical,Auto Manufacturers,45802813.13999963
2023-01-05,Consumer Cyclical,Auto Parts,2519400.5399999702
2023-01-05,Consumer Cyclical,Department Stores,11347341.99999998
2023-01-05,Consumer Cyclical,Footwear & Accessories,7459231.240000016
